title,type,dates,members,score
Yuru Camp△,Manga (? vols),May 2015 -,"7,100 members",8.26
Koko wa Ima kara Rinri desu.,Manga (? vols),Oct 2016 -,"4,396 members",8.26
Tonari no Kaibutsu-kun,Manga (13 vols),Aug 2008 - Nov 2013,"72,426 members",8.25
Fukigen na Mononokean,Manga (? vols),Sep 2013 -,"7,910 members",8.25
Fate/strange Fake,Novel (? vols),Jan 2015 -,"4,495 members",8.25
Homunculus,Manga (15 vols),Mar 2003 - Feb 2011,"42,010 members",8.24
Akumetsu,Manga (18 vols),Oct 2002 - Apr 2006,"35,306 members",8.24
Historie,Manga (? vols),Jan 2003 -,"14,007 members",8.24
Ten: Tenhou-doori no Kaidanji,Manga (18 vols),Aug 1989 - Apr 2002,"3,111 members",8.24
Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun,Manga (? vols),Feb 2007 -,"20,683 members",8.25
Major,Manga (78 vols),Jul 1994 - Jul 2010,"3,802 members",8.24
Katanagatari,Novel (12 vols),Jan 2007 - Dec 2007,"3,247 members",8.24
Binbougami ga!,Manga (16 vols),Jun 2008 - Jul 2013,"14,790 members",8.24
Ao Haru Ride,Manga (13 vols),Jan 2011 - Feb 2015,"107,849 members",8.24
Cheese in the Trap Season 1,Manhwa (6 vols),Jul 2010 - May 2011,"15,674 members",8.24
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,Novel (? vols),Jan 2015 -,"2,930 members",8.24
Emma,Manga (10 vols),Dec 2001 - Feb 2008,"18,146 members",8.22
Vagrant Soldier Ares,Manhwa (26 vols),2001 - 2007,"12,398 members",8.23
Shiawase Kissa 3-choume,Manga (15 vols),Dec 2004 - Aug 2009,"15,536 members",8.23
Higurashi no Naku Koro ni: Onikakushi-hen,Manga (2 vols),Mar 2005 - Mar 2006,"17,097 members",8.23
Kimi to Boku.,Manga (? vols),Feb 2003 -,"7,791 members",8.23
Kuroko no Basket,Manga (30 vols),Dec 2008 - Sep 2014,"58,973 members",8.23
Umineko no Naku Koro ni - Episode 4: Alliance of the Golden Witch,Manga (6 vols),Oct 2009 - Feb 2012,"6,833 members",8.23
Donten ni Warau,Manga (6 vols),Oct 2010 - May 2013,"17,078 members",8.23
Ao Haru Ride,Novel (6 vols),Dec 2011 - Jun 2015,"16,408 members",8.23
Fate/kaleid liner Prisma☆Illya 3rei!!,Manga (? vols),May 2012 -,"6,628 members",8.23
Berserk: Shinen no Kami 2,One-shot (? vols),Jul 1996 - Jul 1996,"6,496 members",8.23
Orange,Novel (3 vols),Jul 2015 - Mar 2016,"5,466 members",8.23
Kaichou wa Maid-sama!: Marriage,Manga (1 vols),Nov 2013 - Apr 2018,"4,615 members",8.23
Tokyo卍Revengers,Manga (? vols),Mar 2017 -,"5,822 members",8.23
Fushigi Neko no Kyuu-chan,Manga (? vols),Jan 2018 -,"2,396 members",8.23
Bishoujo Senshi Sailor Moon,Manga (18 vols),Dec 1991 - Feb 1997,"34,972 members",8.22
Shonan Junai Gumi!,Manga (31 vols),Sep 1990 - Sep 1996,"11,661 members",8.22
Shingetsutan Tsukihime,Manga (10 vols),Aug 2003 - Jul 2010,"25,072 members",8.22
NG Life,Manga (9 vols),Feb 2006 - Mar 2009,"9,015 members",8.22
Sengoku Youko,Manga (17 vols),Dec 2007 - May 2016,"10,650 members",8.22
Zankoku na Kami ga Shihai suru,Manga (17 vols),May 1992 - May 2001,"5,096 members",8.22
Diamond no Ace,Manga (47 vols),May 2006 - Jul 2015,"13,775 members",8.22
Ultra Heaven,Manga (? vols),Jun 2001 -,"5,794 members",8.22
Saiki Kusuo no Ψ-nan,Manga (26 vols),May 2012 - Jul 2018,"14,878 members",8.22
Hajishirazu no Purple Haze: JoJo no Kimyou na Bouken yori,Novel (1 vols),Sep 2011 - Sep 2011,"6,277 members",8.22
xxxHOLiC: Rei,Manga (? vols),Mar 2013 -,"9,219 members",8.22
Tate no Yuusha no Nariagari,Novel (? vols),Aug 2013 -,"30,918 members",8.22
Re:Zero kara Hajimeru Isekai Seikatsu Ex,Novel (? vols),Jun 2015 -,"2,973 members",8.22
Wind Breaker,Manhwa (? vols),Dec 2013 -,"4,154 members",8.22
Dr. Stone,Manga (? vols),Mar 2017 -,"73,337 members",8.22
Kareshi Kanojo no Jijou,Manga (21 vols),Dec 1995 - May 2005,"28,253 members",8.21
Yuu☆Yuu☆Hakusho,Manga (19 vols),Nov 1990 - Jul 1994,"40,554 members",8.21
God Child,Manga (8 vols),May 2001 - Oct 2003,"14,983 members",8.21
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,Manga (17 vols),Nov 1995 - Mar 1999,"66,389 members",8.21
Girl Friends,Manga (5 vols),Oct 2006 - Aug 2010,"35,407 members",8.21
Rosario to Vampire: Season II,Manga (14 vols),Nov 2007 - Apr 2014,"51,086 members",8.21
Oresama Teacher,Manga (29 vols),Jul 2007 - Feb 2020,"31,226 members",8.21
Baby Steps,Manga (47 vols),Oct 2007 - Nov 2017,"18,181 members",8.21
Beelzebub,Manga (28 vols),Feb 2009 - Mar 2015,"92,736 members",8.21
Full Metal Panic!,Novel (12 vols),Sep 1998 - Aug 2011,"6,158 members",8.21
Dai Densetsu no Yuusha no Densetsu,Novel (? vols),Oct 2007 -,"2,256 members",8.21
Bokura wa Minna Kawai-sou,Manga (11 vols),Apr 2010 - May 2018,"26,237 members",8.21
Ouran Koukou Host Club University Special,Manga (? vols),Jul 2011 - Aug 2011,"5,814 members",8.21
Gochuumon wa Usagi desu ka?,Manga (? vols),Jan 2011 -,"3,591 members",8.21
Helck,Manga (12 vols),May 2014 - Dec 2017,"14,530 members",8.21
Totsukuni no Shoujo,Manga (? vols),Sep 2015 -,"22,215 members",8.21
Shuumatsu no Walküre,Manga (? vols),Nov 2017 -,"13,813 members",8.21
Tonikaku Kawaii,Manga (? vols),Feb 2018 -,"20,522 members",8.21
NHK ni Youkoso!,Manga (8 vols),Dec 2003 - Apr 2007,"39,884 members",8.20
Koukou Debut,Manga (15 vols),Aug 2003 - May 2013,"51,775 members",8.20
Trigun Maximum,Manga (14 vols),Jul 1998 - Feb 2008,"16,159 members",8.21
City Hunter,Manga (35 vols),Feb 1985 - Nov 1991,"7,901 members",8.20
The Legend of the Sun Knight,Novel (8 vols),Jul 2007 - Nov 2011,"2,556 members",8.20
Rokujouma no Shinryakusha!?,Novel (? vols),Mar 2009 -,"3,513 members",8.20
Sasaki to Miyano,Manga (? vols),Feb 2016 -,"4,214 members",8.20
Spirit Fingers,Manhwa (? vols),May 2015 -,"1,143 members",8.20
Chrno Crusade,Manga (8 vols),Dec 1998 - May 2004,"22,878 members",8.19
Wild Adapter,Manga (? vols),2001 -,"5,206 members",8.19
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Manga (16 vols),Mar 1989 - Apr 1992,"51,921 members",8.19
Rookies,Manga (24 vols),Feb 1998 - Aug 2003,"10,242 members",8.19
Fushigi Yuugi: Genbu Kaiden,Manga (12 vols),Mar 2003 - Feb 2013,"10,158 members",8.19
Kyoukaisenjou no Horizon,Novel (29 vols),Sep 2008 - Dec 2018,"3,678 members",8.19
Aku no Hana,Manga (11 vols),Sep 2009 - May 2014,"72,839 members",8.19
Hikaru ga Chikyuu ni Ita Koro......,Novel (10 vols),May 2011 - Apr 2014,"3,375 members",8.18
Nekota no Koto ga Kininatte Shikatanai.,Manga (10 vols),Apr 2013 - Dec 2016,"6,847 members",8.19
The Reason Why Raeliana Ended up at the Duke's Mansion,Manhwa (? vols),Sep 2017 -,"2,335 members",8.20
Boku no Chikyuu wo Mamotte,Manga (21 vols),1987 - 1994,"7,083 members",8.18
Sayonara Zetsubou Sensei,Manga (30 vols),Apr 2005 - Jun 2012,"20,143 members",8.18
Bokurano,Manga (11 vols),Nov 2003 - Jun 2009,"20,387 members",8.18
Majin Tantei Nougami Neuro,Manga (23 vols),Feb 2005 - Apr 2009,"15,892 members",8.18
Adolf ni Tsugu,Manga (4 vols),Dec 1983 - May 1985,"11,046 members",8.18
Crows,Manga (26 vols),1990 - 1998,"13,060 members",8.18
One Piece: Strong World,One-shot (? vols),Nov 2009 - Dec 2009,"10,561 members",8.18
Hoshi Mamoru Inu,Manga (1 vols),Jul 2008 - Jan 2009,"6,993 members",8.18
Date A Live,Novel (? vols),Mar 2011 -,"9,872 members",8.18
Shokugeki no Souma,Manga (36 vols),Nov 2012 - Aug 2019,"138,894 members",8.18
Cardcaptor Sakura: Clear Card-hen,Manga (? vols),Jun 2016 -,"10,368 members",8.18
Saihate no Paladin,Novel (? vols),Mar 2016 -,"2,717 members",8.18
Hitori Koukan Nikki,Manga (2 vols),May 2016 - Nov 2017,"5,975 members",8.18
Katekyo Hitman Reborn!,Manga (42 vols),May 2004 - Nov 2012,"97,087 members",8.17
Maison Ikkoku,Manga (15 vols),Oct 1980 - Apr 1987,"9,863 members",8.17
Shijou Saikyou no Deshi Kenichi,Manga (61 vols),Aug 2002 - Sep 2014,"54,891 members",8.17
JoJo no Kimyou na Bouken Part 6: Stone Ocean,Manga (17 vols),Dec 1999 - Apr 2003,"80,698 members",8.17
Kamigami no Itadaki,Manga (5 vols),Feb 2000 - Mar 2003,"4,326 members",8.17
Hataraku Maou-sama!,Novel (? vols),Feb 2011 -,"16,605 members",8.17
K: Memory of Red,Manga (3 vols),May 2012 - Jul 2013,"9,221 members",8.17
Innocent,Manga (9 vols),Jan 2013 - Apr 2015,"16,109 members",8.17
Aoharu x Kikanjuu,Manga (? vols),Jun 2012 -,"10,513 members",8.17
Amaama to Inazuma,Manga (12 vols),Feb 2013 - Dec 2018,"13,578 members",8.17
Dead Dead Demon's Dededededestruction,Manga (? vols),Apr 2014 -,"22,764 members",8.17
Karakai Jouzu no Takagi-san,Manga (? vols),Jun 2012 -,"43,913 members",8.17
Skill of Lure,Manhwa (7 vols),Mar 2013 - Jan 2016,"13,921 members",8.17
Shinsetsu Ookami to Koushinryou: Ookami to Youhishi,Novel (? vols),Sep 2016 -,"3,687 members",8.16
Tokidoki,One-shot (? vols),Oct 2016 - Oct 2016,"20,886 members",8.17
Ojisama to Neko,Manga (? vols),Jun 2017 -,"4,034 members",8.17
Hikaru no Go,Manga (23 vols),Dec 1998 - Jul 2003,"32,860 members",8.16
Gantz,Manga (37 vols),Jul 2000 - Jun 2013,"134,826 members",8.16
Pocket Monsters Special,Manga (? vols),Apr 1997 -,"32,127 members",8.16
H2,Manga (34 vols),1992 - 1999,"6,980 members",8.16
Hotarubi no Mori e,Manga (1 vols),Jun 2002 - Mar 2003,"14,794 members",8.16
Ginga Nagareboshi Gin,Manga (18 vols),Nov 1983 - Feb 1987,"2,756 members",8.16
Yamamoto Zenjirou to Moushimasu,Manga (5 vols),Feb 2007 - Aug 2011,"5,254 members",8.16
Adekan,Manga (? vols),Jul 2007 -,"7,608 members",8.16
Shaman King Kanzenban,Manga (? vols),Mar 2008 - Apr 2009,"11,044 members",8.16
Saraiya Goyou,Manga (8 vols),Nov 2005 - Jul 2010,"4,369 members",8.16
Sunny,Manga (6 vols),Dec 2010 - Jul 2015,"6,576 members",8.16
Ouran Koukou Host Club Short Special,One-shot (? vols),Nov 2010 - Nov 2010,"4,759 members",8.16
Shouwa Genroku Rakugo Shinjuu,Manga (10 vols),Mar 2010 - Jun 2016,"3,882 members",8.16
Kubera,Manhwa (? vols),Feb 2010 -,"9,192 members",8.16
Kagerou Daze,Novel (8 vols),May 2012 - Dec 2017,"8,710 members",8.16
Mahou Shoujo Madoka★Magica: The Different Story,Manga (3 vols),Jun 2012 - Nov 2012,"11,790 members",8.16
Kono Subarashii Sekai ni Shukufuku wo! Spin-off: Kono Subarashii Sekai ni Bakuen wo!,Novel (5 vols),Jul 2014 - Mar 2019,"3,579 members",8.16
Monogatari Series: Off Season,Novel (4 vols),Oct 2015 - Jan 2017,"2,164 members",8.16
Beauty Pop,Manga (10 vols),Sep 2003 - Feb 2008,"22,882 members",8.15
Gunnm: Last Order,Manga (19 vols),Jul 2001 - Jan 2014,"15,122 members",8.15
Iryuu: Team Medical Dragon,Manga (25 vols),Nov 2002 - Jan 2011,"8,227 members",8.15
Futatsu no Spica,Manga (16 vols),Jun 2000 - Aug 2009,"3,737 members",8.15
Shigurui,Manga (15 vols),Jun 2003 - Jul 2010,"13,685 members",8.15
Voynich Hotel,Manga (3 vols),Oct 2006 - Mar 2015,"21,168 members",8.15
Ore Monogatari!!,Manga (13 vols),Dec 2011 - Jul 2016,"20,884 members",8.15
"Owari no Seraph: Ichinose Guren, 16-sai no Catastrophe",Novel (7 vols),Jan 2013 - Dec 2016,"5,176 members",8.15
Shingeki no Kyojin: Kuinaki Sentaku,Manga (2 vols),Nov 2013 - Jun 2014,"31,107 members",8.15
Yugami-kun ni wa Tomodachi ga Inai,Manga (16 vols),May 2012 - May 2019,"10,374 members",8.15
Otouto no Otto,Manga (4 vols),Sep 2014 - May 2017,"5,600 members",8.15
Sword Art Online: Project Alicization,Manga (? vols),Aug 2016 -,"4,791 members",8.15
Sakigake!! Cromartie Koukou,Manga (17 vols),Jul 2000 - May 2006,"9,297 members",8.15
Uzumaki,Manga (3 vols),Jan 1998 - Aug 1999,"95,278 members",8.14
Dogs: Bullets & Carnage,Manga (? vols),Jun 2005 -,"26,144 members",8.14
Gokusen,Manga (15 vols),Dec 1999 - Feb 2007,"11,594 members",8.14
Hitsugikatsugi no Kuro.: Kaichu Tabi no Wa,Manga (7 vols),Dec 2004 - May 2018,"3,211 members",8.14
Saiyuuki Reload Blast,Manga (? vols),Dec 2009 -,"2,903 members",8.14
Koi dano Ai dano,Manga (11 vols),Oct 2009 - Apr 2016,"9,301 members",8.14
Sword Art Online,Novel (? vols),Apr 2009 -,"45,521 members",8.14
Byousoku 5 Centimeter,Manga (2 vols),May 2010 - Mar 2011,"20,153 members",8.14
Sakurasou no Pet na Kanojo,Novel (13 vols),Jan 2010 - Mar 2014,"9,358 members",8.14
Kase-san Series,Manga (? vols),Aug 2010 -,"18,265 members",8.14
Log Horizon,Novel (? vols),Apr 2010 -,"9,493 members",8.14
Kanata no Astra,Manga (5 vols),May 2016 - Dec 2017,"7,951 members",8.14
King's Maker,Manhwa (3 vols),Apr 2017 - Nov 2017,"1,010 members",8.14
Initial D,Manga (48 vols),Jun 1995 - Jul 2013,"13,471 members",8.13
Kindaichi Shounen no Jikenbo: File Series,Manga (27 vols),Oct 1992 - Oct 1997,"3,899 members",8.13
Soul Eater,Manga (25 vols),Jun 2003 - Aug 2013,"123,332 members",8.13
Higurashi no Naku Koro ni: Tatarigoroshi-hen,Manga (2 vols),May 2005 - May 2006,"9,529 members",8.13
The Ravages of Time,Manhua (? vols),Jun 2001 -,"6,904 members",8.13
Kingyosou,Manga (2 vols),Aug 2005 - Feb 2007,"7,034 members",8.13
Ningen Shikkaku,Manga (3 vols),Feb 2009 - Apr 2011,"12,774 members",8.13
Kingdom Hearts: 358/2 Days,Manga (5 vols),Aug 2009 - Sep 2012,"8,535 members",8.13
Mahou Shoujo Madoka★Magica,Manga (3 vols),Feb 2011 - May 2011,"27,503 members",8.13
Gangsta.,Manga (? vols),Jan 2011 -,"39,202 members",8.13
Soredemo Sekai wa Utsukushii,Manga (25 vols),Mar 2009 - May 2020,"17,112 members",8.13
Magi: Sinbad no Bouken,Manga (19 vols),May 2013 - May 2018,"22,171 members",8.13
Tomodachi Game,Manga (? vols),Dec 2013 -,"10,105 members",8.14
Senryuu Shoujo,Manga (? vols),Oct 2016 -,"15,825 members",8.13
Kage no Jitsuryokusha ni Naritakute!,Novel (? vols),Nov 2018 -,"1,647 members",8.13
X,Manga (18 vols),Mar 1992 - Mar 2003,"17,838 members",8.12
Shigeshoushi,Manga (7 vols),May 2002 - Apr 2013,"8,643 members",8.12
Id,Manhwa (29 vols),2002 - 2013,"11,223 members",8.12
Hokuto no Ken,Manga (27 vols),Sep 1983 - Jul 1988,"21,217 members",8.12
Vassalord.,Manga (7 vols),Nov 2004 - Feb 2013,"12,097 members",8.12
Ashita no Ousama,Manga (10 vols),1996 - 2001,"3,078 members",8.12
D.Gray-man: Reverse,Novel (3 vols),May 2005 - Dec 2010,"4,893 members",8.12
"""Bungaku Shoujo"" Series",Novel (8 vols),Apr 2006 - Aug 2008,"4,895 members",8.12
Chichi no Koyomi,Manga (1 vols),Apr 1994 - Sep 1994,"2,115 members",8.12
Steins;Gate,Manga (3 vols),Sep 2009 - Jul 2013,"16,381 members",8.12
My Young Cat and My Old Dog,Manhwa (3 vols),Apr 2011 - Jan 2013,"2,059 members",8.12
Douluo Dalu II: Jueshi Tangmen,Manhua (? vols),Nov 2012 -,"5,630 members",8.12
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,Novel (? vols),Aug 2015 -,"4,478 members",8.12
Lookism,Manhwa (? vols),Nov 2014 -,"10,252 members",8.12
Kage no Jitsuryokusha ni Naritakute!,Manga (? vols),Dec 2018 -,"7,548 members",8.12
Gunslinger Girl,Manga (15 vols),May 2002 - Sep 2012,"16,100 members",8.11
Koukaku Kidoutai: The Ghost in the Shell,Manga (1 vols),Mar 1989 - Sep 1991,"22,135 members",8.11
Gosick,Novel (9 vols),Dec 2003 - Jul 2011,"4,353 members",8.11
Boku no Hatsukoi wo Kimi ni Sasagu,Manga (12 vols),Aug 2005 - Jul 2008,"18,445 members",8.11
Strobe Edge,Manga (10 vols),Jun 2007 - Aug 2010,"50,072 members",8.11
Seiyuu Ka!,Manga (12 vols),Jun 2009 - Feb 2013,"12,652 members",8.11
Non Non Biyori,Manga (? vols),Sep 2009 -,"6,597 members",8.11
Yomawari Sensei,Manga (9 vols),Oct 2004 - Dec 2008,"2,894 members",8.11
Pandora Hearts: Caucus Race,Novel (3 vols),Mar 2011 - May 2013,"3,192 members",8.11
Byousoku 5 Centimeter,Novel (1 vols),Nov 2007 - Nov 2007,"3,336 members",8.11
Yamada-kun to 7-nin no Majo,Manga (28 vols),Feb 2012 - Feb 2017,"84,794 members",8.11
Ghost Hunt: Akumu no Sumu Ie,Manga (3 vols),Jul 2012 - Jul 2016,"3,018 members",8.11
Senyuu.,Manga (2 vols),May 2012 - Apr 2013,"3,816 members",8.11
Touhou Suzunaan: Forbidden Scrollery.,Manga (7 vols),Oct 2012 - Jul 2017,"3,771 members",8.11
Tanaka-kun wa Itsumo Kedaruge,Manga (13 vols),Jul 2013 - Jul 2019,"13,718 members",8.11
Umineko no Naku Koro ni Chiru,Novel (7 vols),Jul 2012 - Sep 2018,"2,220 members",8.11
Re:Zero kara Hajimeru Isekai Seikatsu: Dai-3 Shou - Truth of Zero,Manga (? vols),May 2015 -,"7,225 members",8.11
Kishuku Gakkou no Juliet,Manga (16 vols),Jul 2015 - Sep 2019,"24,698 members",8.11
Machikado Mazoku,Manga (? vols),Jun 2014 -,"2,502 members",8.11
Your Letter,Manhwa (1 vols),Aug 2018 - Oct 2018,"1,310 members",8.12
Vampire Juujikai,Manga (9 vols),Aug 2003 - Feb 2007,"10,241 members",8.10
Bokura ga Ita,Manga (16 vols),Apr 2002 - Feb 2012,"36,124 members",8.10
Rough,Manga (12 vols),1987 - 1989,"4,301 members",8.10
Detroit Metal City,Manga (10 vols),Apr 2005 - Apr 2010,"11,142 members",8.10
Oooku,Manga (? vols),Jun 2004 -,"4,625 members",8.10
Eien no With,Manga (1 vols),2003 - 2003,"4,186 members",8.10
Toshokan Sensou: Love & War,Manga (15 vols),Sep 2007 - Feb 2015,"4,818 members",8.10
Oboreru Knife,Manga (17 vols),Oct 2004 - Dec 2013,"4,067 members",8.10
Mudazumonaki Kaikaku,Manga (16 vols),Feb 2006 - 2015,"6,883 members",8.10
Getter Robo Saga,Manga (9 vols),-,"1,062 members",8.10
Medaka Box Gaiden: Good Loser Kumagawa,Novel (2 vols),Oct 2012 - Nov 2012,"2,426 members",8.10
Kamisama ga Uso wo Tsuku.,Manga (1 vols),Mar 2013 - Jul 2013,"31,159 members",8.10
Steins;Gate: Eigou Kaiki no Pandora,Manga (? vols),May 2014 -,"2,269 members",8.10
Takane to Hana,Manga (? vols),Dec 2014 -,"17,331 members",8.10
Nogi Wakaba wa Yuusha de Aru,Novel (2 vols),Jul 2015 - Jan 2017,"2,997 members",8.11
Bokura no Shokutaku,Manga (1 vols),Nov 2015 - Jan 2017,"2,577 members",8.10
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,Manga (? vols),Aug 2017 -,"11,302 members",8.10
Full Moon wo Sagashite,Manga (7 vols),Dec 2001 - Apr 2004,"29,253 members",8.09
Tokyo Babylon,Manga (7 vols),1990 - 1993,"13,665 members",8.09
Kimi wa Pet,Manga (14 vols),May 2000 - Oct 2005,"15,346 members",8.09
Tekkon Kinkreet,Manga (3 vols),1993 - 1994,"7,735 members",8.09
Deep Love: Ayu no Monogatari,Manga (2 vols),May 2004 - Sep 2004,"14,518 members",8.09
Kaze to Ki no Uta,Manga (17 vols),Feb 1976 - Jun 1984,"4,575 members",8.09
Beast Master,Manga (2 vols),Sep 2006 - Feb 2007,"51,520 members",8.09
Kono Sekai no Katasumi ni,Manga (3 vols),Jan 2006 - Jan 2009,"3,400 members",8.09
Ruler of the Land,Manhwa (? vols),1995 -,"6,255 members",8.09
Yowamushi Pedal,Manga (? vols),Feb 2008 -,"10,186 members",8.09
"Maoyuu Maou Yuusha: 'Kono Ware no Mono to Nare, Yuusha yo' 'Kotowaru!'",Manga (18 vols),Apr 2011 - Apr 2016,"11,778 members",8.09
Higurashi no Naku Koro ni - Dai 1-wa: Onikakushi-hen,Novel (2 vols),Aug 2007 - Sep 2007,"1,321 members",8.09
Overlord,Manga (? vols),Nov 2014 -,"26,649 members",8.09
Karakai Jouzu no (Moto) Takagi-san,Manga (? vols),Jul 2017 -,"20,653 members",8.09
"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka",Manga (? vols),Oct 2017 -,"1,513 members",8.09
Life,Manga (20 vols),Apr 2002 - Feb 2009,"12,693 members",8.08
MeruPuri: Märchen☆Prince,Manga (4 vols),Aug 2002 - Sep 2004,"20,994 members",8.08
Deadman Wonderland,Manga (13 vols),Apr 2007 - Jul 2013,"146,647 members",8.08
Toradora!,Manga (? vols),Jul 2007 -,"26,350 members",8.08
Hitori-tachi,Manga (1 vols),Sep 2010 - Sep 2010,"3,656 members",8.08
Kokoro Connect,Novel (11 vols),Jan 2010 - Sep 2013,"6,865 members",8.08
Hajimari no Niina,Manga (4 vols),Sep 2010 - Oct 2012,"11,977 members",8.08
Dr. Frost,Manhwa (? vols),Feb 2011 -,"6,108 members",8.08
No Game No Life,Manga (? vols),Jan 2013 -,"21,088 members",8.08
Baraou no Souretsu,Manga (? vols),Oct 2013 -,"5,060 members",8.08
Gekijouban Mahou Shoujo Madoka★Magica: Shinpen - Hangyaku no Monogatari,Manga (3 vols),Nov 2013 - Jan 2014,"4,891 members",8.08
Tokyo Ghoul,Novel (3 vols),Jul 2013 - Dec 2014,"8,944 members",8.08
Usemono Yado,Manga (3 vols),Mar 2014 - Oct 2015,"3,597 members",8.08
The God of High School,Manhwa (? vols),Apr 2011 -,"16,567 members",8.08
Naruto,Manga (72 vols),Sep 1999 - Nov 2014,"300,855 members",8.07
Saiyuuki,Manga (9 vols),Feb 1997 - Jan 2002,"13,091 members",8.07
Shoukoku no Altair,Manga (? vols),Jul 2007 -,"8,651 members",8.07
Sumire♡16-sai!!,Manga (5 vols),May 2006 - Jan 2009,"5,039 members",8.07
Reimei no Arcana,Manga (13 vols),Jan 2009 - Jun 2013,"34,187 members",8.07
½ Prince,Novel (9 vols),Oct 2004 - Aug 2005,"6,435 members",8.07
Himegimi to Sanbiki no Kemono,Manga (4 vols),Feb 2009 - Mar 2011,"6,974 members",8.07
Omoide Emanon,Manga (1 vols),Sep 2006 - Jan 2008,"27,132 members",8.07
Shinrei Tantei Yakumo,Manga (14 vols),Jun 2009 - Jun 2016,"14,340 members",8.07
Zoku Hoshi Mamoru Inu,Manga (1 vols),Jul 2009 - Nov 2009,"2,698 members",8.07
Mahou Shoujo Madoka★Magica,Novel (2 vols),Aug 2011 - Aug 2011,"2,637 members",8.07
Sword Art Online: Progressive,Manga (7 vols),Jun 2013 - Feb 2018,"13,515 members",8.07
Ame no Hi no Iris,Novel (1 vols),May 2011 - May 2011,"3,049 members",8.07
Noragami: Shuuishuu,Manga (? vols),Nov 2011 -,"7,227 members",8.07
Tate no Yuusha no Nariagari,Manga (? vols),Feb 2014 -,"80,385 members",8.07
Namaikizakari.,Manga (? vols),Oct 2013 -,"41,234 members",8.07
GTO: Paradise Lost,Manga (? vols),Apr 2014 -,"9,193 members",8.07
Tsubaki-chou Lonely Planet,Manga (14 vols),May 2015 - Aug 2019,"27,283 members",8.07
Kimi no Na wa. Another Side: Earthbound,Novel (1 vols),Jul 2016 - Jul 2016,"3,648 members",8.07
Gekijouban Sword Art Online: Ordinal Scale,Manga (? vols),Apr 2017 -,"2,275 members",8.07
Nettaigyo wa Yuki ni Kogareru,Manga (? vols),Jun 2017 -,"6,479 members",8.07
School Rumble,Manga (22 vols),Oct 2002 - Jul 2008,"23,218 members",8.06
Saver,Manhwa (17 vols),2002 - 2010,"5,563 members",8.06
Hana yori Dango,Manga (37 vols),Oct 1992 - Apr 2008,"19,521 members",8.06
Gokinjo Monogatari,Manga (7 vols),Feb 1995 - Oct 1997,"6,494 members",8.06
